question_text,category,score,confidence
What gets you excited and what do you want to learn in a new role?,recruiter,0.544,low
"Can you summarize your experience so far, how you tie it back to this role, and the kind of hands-on work you have done?",recruiter,0.5267,low
Tell me about your skill set background and then we'll go into some technical conversations.,recruiter,0.5202,low
What is your target compensation range or number?,recruiter,0.628,medium
Please provide an introduction to your background and current role.,recruiter,0.5413,low
Why are you interested in this role?,recruiter,0.8693,high
Can you walk us through your resume and overall work experience?,recruiter,0.6776,medium
"What are you looking for in your next role, and why?",recruiter,0.6861,medium
"Why are you interested in this role, and how does it align with your experience?",recruiter,0.7806,high
"Can you walk us through your recent roles, what you were hired to do, and what you ultimately owned and delivered?",recruiter,0.5186,low
"What is the current status of your system, and what motivated you to look for new opportunities?",recruiter,0.5367,low
"What questions do you have about the company, role, and expectations for this position?",recruiter,0.5335,low
Have you have experience?,recruiter,0.6089,medium
What are your expectations for an hourly rate and full-time salary?,recruiter,0.6789,medium
Are you open to relocating and working in a hybrid on-site model for this role?,recruiter,0.5228,low
"What are your salary expectations, and how do they align with the offered compensation range and benefits?",recruiter,0.757,high
"Why are you currently looking for a new opportunity, and what factors are driving your job search?",recruiter,0.7197,medium
"Tell me about your background, why you are interested in this role, and why you believe you are a strong fit.Describe an end-to-end customer support AI assistant you built in production. What business problem did it solve and what measurable impact did it create?",recruiter,0.5454,low
"What are your expectations regarding salary, contract-to-hire roles, and benefits?",recruiter,0.6601,medium
"What kinds of roles or opportunities are you currently looking for, and why are they aligned with your recent experience?",recruiter,0.5919,medium
"Are you actively exploring new opportunities or passively considering roles, and what prompted your current job search?",recruiter,0.5563,medium
"Are you comfortable working onsite in San Francisco, and how do you approach relocation or in-office expectations?",recruiter,0.5059,low
"What are your target compensation expectations, and how flexible are you on base salary versus total compensation?",recruiter,0.6631,medium
"What factors do you consider when deciding your availability, compensation expectations, and readiness to join a new role?",recruiter,0.5004,low
"What motivates you to explore new opportunities, and what kind of work are you looking for in your next role?",recruiter,0.5499,low
"What are your compensation expectations, and how do you evaluate offers including salary and equity?",recruiter,0.6628,medium
"Describe your current location and relocation plans, including any constraints (e.g., family or school commitments).How do you evaluate opportunities that require immediate relocation versus delayed relocation?",recruiter,0.515,low
"What are your expectations regarding compensation, work model (hybrid/on-site), and role responsibilities?",recruiter,0.5479,low
"What type of role are you looking for now (e.g., IC, tech lead), and how does it align with your past experience?",recruiter,0.5454,low
"What are your compensation expectations, and how do you align them with role scope and responsibilities?",recruiter,0.6234,medium
"Why are you currently looking for a new opportunity, and how does this role align with your career goals?",recruiter,0.6864,medium
"What are your compensation expectations, and how do they align with the roles you are targeting?",recruiter,0.6751,medium
"Why are you currently looking for a new opportunity, and what are you expecting from your next role?",recruiter,0.682,medium
"Can you describe your professional background and experience, particularly your work in AI/ML projects?",recruiter,0.5665,medium
"What kind of roles are you currently seeking, and what factors are influencing your preference for full-time versus contract positions?",recruiter,0.5021,low
"What motivates you to move from your current role, and what kind of challenges are you looking for next?",recruiter,0.4986,low
"What are your compensation expectations for a full-time role, and how do you determine your target salary?",recruiter,0.6768,medium
"Can you describe your professional background and experience, particularly your work in AI/ML and RAG-based systems?",recruiter,0.5523,medium
"What factors are motivating your transition from your current role, and what are you looking for in your next opportunity?",recruiter,0.5043,low
"What factors are driving your decision to look for a new opportunity, and what are you seeking in your next role?",recruiter,0.6441,medium
"Can you describe your roles, responsibilities, and day-to-day work across your recent experience, including the types of projects you have worked on?",recruiter,0.5172,low
"What motivates your job search, and what type of role are you currently looking for?",recruiter,0.5631,medium
"What are your expectations regarding compensation, and how do you evaluate market standards for such roles?",recruiter,0.6092,medium
"Why are you looking for a new opportunity after your recent role, and what motivates your next move?",recruiter,0.6216,medium
"How do you align your salary expectations with role responsibilities, company constraints, and overall compensation packages?",recruiter,0.5883,medium
"What motivated you to explore this opportunity, and are you actively seeking a new role due to your contract ending?",recruiter,0.5403,low
"What are your salary expectations, and how flexible are you based on role and benefits?",recruiter,0.7364,medium
"What motivated you to explore this role, and what factors are driving your current job search?",recruiter,0.6093,medium
"What are your compensation expectations, and how flexible are you within that range?",recruiter,0.7087,medium
"Can you provide a brief overview of your experience as a full-stack and front-end developer, including the technologies you have worked with?",recruiter,0.5103,low
What factors are motivating your search for a new opportunity at this stage of your career?,recruiter,0.5574,medium
What are your salary expectations for a W2 role and for a full-time position?,recruiter,0.6679,medium
"What motivates you to transition into new roles, and what are you looking for in your next career opportunity?",recruiter,0.5265,low
What motivated your interest in this role and how does it align with your current experience?,recruiter,0.6743,medium
"What kind of roles are you currently seeking, and what led you to start looking for new opportunities?",recruiter,0.5917,medium
What are your salary expectations for your next role?,recruiter,0.7672,high
What are your compensation expectations for a senior ML/GenAI engineering role?,recruiter,0.5499,low
What are your salary expectations for a Junior AI/Machine Learning Engineer role?,recruiter,0.6042,medium
"What are you looking for in your next role, particularly in terms of growth, learning, and real-world impact?",recruiter,0.5695,medium
"What factors influence your compensation expectations, and how flexible are you when considering different roles?",recruiter,0.5881,medium
"What factors influence your compensation expectations, and how flexible are you when evaluating different opportunities?",recruiter,0.607,medium
"How do you evaluate compensation packages, including base salary, bonus, and equity, when considering new opportunities?",recruiter,0.5149,low
"What factors are driving your current job search, and what are you looking for in your next role?",recruiter,0.5348,low
"What are your compensation expectations, and how flexible are you based on the overall compensation package?",recruiter,0.6683,medium
CandidateWhat exactly are you looking for in candidates for this role?,recruiter,0.581,medium
"What is your current employment status, and when did your most recent role end?",recruiter,0.5446,low
What rate or compensation range are you targeting for W2 roles?,recruiter,0.5406,low
"Are you currently interviewing with other companies, and what stage are you in within those processes?",recruiter,0.4994,low
"What are your salary expectations, and how flexible are you when considering compensation packages that include equity?",recruiter,0.6123,medium
"What are you looking for in your next role in terms of responsibilities, growth, and impact?",recruiter,0.6114,medium
"What are your salary expectations, and how do you evaluate total compensation including bonuses and benefits?",recruiter,0.6843,medium
