question_text,category,score,confidence
Can you talk to me about your style of stakeholder management and any technical challenges you've solved in that front?,hiring_manager,0.7073,medium
"How would you handle a scenario where your stakeholder doesn't have the scope and needs your help in identifying that scope, that use case, for agentic development?",hiring_manager,0.5857,medium
Let's talk about your project and what work you did recently in detail.,hiring_manager,0.5451,low
I should talk about four distinct goals. I want your opinion on your view. So where do you see yourself orient business and fourth is engineer like hands on.,hiring_manager,0.507,low
"How do you organize and prioritize your time when you have competing priorities, and how do you communicate that to the stakeholders?",hiring_manager,0.6177,medium
What was your role and contribution in your most recent project?,hiring_manager,0.6004,medium
What kind of leadership or mentoring experience do you have in your projects?,hiring_manager,0.5309,low
How do you prioritize tasks and manage deadlines effectively?,hiring_manager,0.5381,low
How would you describe your communication style in a team setting?,hiring_manager,0.5277,low
"What qualities do you believe are essential for solving unfamiliar technical problems, and how do you approach such challenges?",hiring_manager,0.5582,medium
"What questions do you have about the team structure, role expectations, and interview process?",hiring_manager,0.4763,low
"Describe your experience working with cross-functional teams and how you ensured alignment across teams with different priorities.Explain a situation where you had to justify a technical decision (e.g., choosing a vector database) to another team and how you approached it.How did you collaborate with domain teams (e.g., customer support) to build datasets and improve system performance?",hiring_manager,0.5481,low
Describe a time when you took full ownership of a project end-to-end and how you managed technical and product decisions.How did you handle situations where you were blocked by another team and unable to get required inputs?,hiring_manager,0.5356,low
Describe a situation where you worked with cross-functional teams and how you ensured alignment across teams.How did you handle situations where you were blocked by another team and needed critical input?,hiring_manager,0.5867,medium
How did you present technical outcomes to non-technical stakeholders effectively?,hiring_manager,0.5636,medium
How do you handle situations where dependencies on other teams block your progress?,hiring_manager,0.5246,low
Can you describe a situation where you collaborated with multiple cross-functional teams and how you ensured alignment and buy-in?,hiring_manager,0.5075,low
"How would your colleagues describe your strengths in a team environment, particularly regarding communication and collaboration?",hiring_manager,0.5127,low
"How do you approach understanding a new data environment, including schema discovery, data quality assessment, and stakeholder collaboration?",hiring_manager,0.5146,low
Can you describe a time you worked with multiple teams across different domains and how you ensured alignment and collaboration?,hiring_manager,0.5458,low
How do you handle situations where you are blocked by dependencies on other teams or delayed decisions?,hiring_manager,0.5277,low
How do you prioritize tasks and communicate effectively with stakeholders when managing competing priorities?,hiring_manager,0.6254,medium
How do you handle ambiguous requirements during project planning and requirement gathering?,hiring_manager,0.7324,medium
How do you handle ambiguity in requirements gathering and ensure alignment with business stakeholders?,hiring_manager,0.5616,medium
