question_text,category,score,confidence
Walk me through each step of the architecture so I can visualize what that structure looks like.,system_design,1.0,high_override
What is the purpose and benefit of using a multi-agent architecture?,system_design,1.0,high_override
How do you restrict the number of transactions to avoid an outage for microservices?,system_design,1.0,high_override
"Do you have any experience with API gateways, and how were you routing the traffic for your microservices?",system_design,1.0,high_override
"How did you go about building comprehensive evaluation pipelines using LLM as a judge and contextual relevance, and what process did you put in place and how do you know what you build is delivering the quality that is expected?",system_design,1.0,high_override
How would you design a simple RAG system?,system_design,1.0,high_override
"Did you build any sandboxes to deploy in, and what were their architectures?",system_design,1.0,high_override
"Describe a major bug or feature that you drove to production in as much detail as you can, specifically the architectural flow end-to-end.",system_design,1.0,high_override
"What is it like interfacing with Databricks, and were you involved in the architectural decision-making process, or do you know the pros and cons?",system_design,1.0,high_override
Would you be comfortable with a developer role or an architect role?,system_design,1.0,high_override
"Can you walk me through how you design a hybrid retrieval pipeline end-to-end for a healthcare enterprise use case, what decisions you make at each stage, and how you measure whether the retrieval is actually good?",system_design,1.0,high_override
"If you were designing a multi-agent system from scratch for automatic prior authorization decisions in healthcare, how would you architect it and what are the three hardest failure modes you would design for upfront?",system_design,1.0,high_override
"In your role as an architect and solution designer, have you had the experience of conducting requirements gathering and probing to understand technical problem areas?",system_design,1.0,high_override
What was the architecture and the technology behind it?,system_design,1.0,high_override
Could you clarify how you would configure Airflow to handle retries and error handling during the execution of tasks in a large-scale unstructured data processing pipeline?,system_design,1.0,high_override
Are you of the belief that data architecture and AI principles are the same regardless of the industry you're working in?,system_design,1.0,high_override
Are you of the belief that data architecture and AI principles are the same regardless of the industry you're working in?,system_design,1.0,high_override
1 What exactly did Duckling do in your chunking pipeline?,system_design,1.0,high_override
"1 Cloud and Data Pipeline Architecture If I asked you to build a document summarization pipeline fully inside Snowflake using Snowpark and Cortex AI, what would the architecture look like?",system_design,1.0,high_override
"1 How would you design a Databricks pipeline to predict hospital readmission risk (using claims, encounters, medications, labs, and notes)?",system_design,1.0,high_override
1 What kind of architecture would you use to pipeline this data in a Databricks pipeline (assessing knowledge of the Medallion Architecture)?,system_design,1.0,high_override
"Candidate: It was handled via horizontal scaling using EKS to support 1,000 to 1,500 concurrent users. Interviewer: Walk me through the infrastructure you provisioned. Candidate: We used Argo CD, Helm charts, and EKS for the vector database. If query latency increased, it would spin up a new query node. Interviewer: What other AWS services did you use for the backend?",system_design,1.0,high_override
"Candidate: We created simple baseline models using raw data. Fraud datasets are highly imbalanced, so the first steps involved checking for missing values, feature correlation, and outliers. Interviewer: What is the most important component of a Transformer architecture?",system_design,1.0,high_override
Can you give me some maybe an example of like an agent that you have built like the architecture point of view. First you can explain me just in a brief like the architecture of the agent that you have built.,system_design,1.0,high_override
Can you please explain end to end architecture or your thought process for a production based RAG system?,system_design,1.0,high_override
How will you design a memory in the agentic system?,system_design,1.0,high_override
How will you architect or basically think about scalable multi-agent system?,system_design,1.0,high_override
"Give me a sense of the architecture, particularly how you handled the data ingestion and chunking step.",system_design,1.0,high_override
Explain me about any of the RAG pipeline that you have built.,system_design,1.0,high_override
Can you take a deep dive in multi-agent architecture and explain a little bit more on that front?,system_design,1.0,high_override
How do you improve RAG latency?,system_design,1.0,high_override
Let's say the latency increased after you did the reranking. How would you tackle that increment in the latency?,system_design,1.0,high_override
He wants to know that whole end-to-end architecture.,system_design,1.0,high_override
What did the architecture look like end to end?,system_design,1.0,high_override
"What trade-offs were made around cost, latency, accuracy, security, and maintainability?",system_design,1.0,high_override
Explain the RAG architecture.,system_design,1.0,high_override
How would you reduce latency in an agent workflow?,system_design,1.0,high_override
Can you walk me through one of the examples where you can design an enterprisegrade RAG architecture for say a secure government environment?,system_design,1.0,high_override
"Given a scenario if I ask you to set up and design a RAG architecture for a secure government environment, what would you do?",system_design,1.0,high_override
"Describe your end-to-end Retrieval-Augmented Generation (RAG) architecture, including the major components of the injection and query pipelines.",system_design,1.0,high_override
"Detail the steps involved in pre-processing unstructured data for the RAG pipeline, specifically describing semantic chunking, the use of sentence transformers for embedding, and tools like docling.",system_design,1.0,high_override
"Propose an approach for designing a data flow between disconnected enterprise systems, referencing the use of event-driven architecture and tools such as Kafka.",system_design,1.0,high_override
Detail your process and experience in building a complete machine learning pipeline.,system_design,1.0,high_override
"Explain the trade-off between fine-tuning a model versus using advanced prompt engineering and RAG, addressing factors such as cost, latency, accuracy requirements, and data volatility.",system_design,1.0,high_override
"Describe the RAG data ingestion pipeline, detailing how you pre-processed unstructured data (including tables and scanned documents using OCR/Docling), handled PII redaction, and managed overlapping chunks.",system_design,1.0,high_override
"How do you design a multi-agent system using a supervisor pattern (orchestrator, router, domain agents), and specifically, how do agents coordinate tasks and prevent infinite loops?",system_design,1.0,high_override
"Describe the end-to-end RAG system you built, including the architecture of the injection and query pipelines. What specific tools and techniques did you use for unstructured data cleaning and pre-processing, chunking, and embeddings in your RAG system?",system_design,1.0,high_override
"Can you describe the specific architectural components of the agentic system, including the purpose of the orchestrator agent, the roles of the specialized domain agents (client, billing, accounts, appointments), and the use of the supervisor pattern?",system_design,1.0,high_override
"Detail your ownership and contribution in architecting the agent-based system, specifically across the agent designing, reasoning framework, and system architecture layers.",system_design,1.0,high_override
What is the expected split between hands-on software engineering work and architectural design work in your role?,system_design,1.0,high_override
"Describe your exposure and experience with infrastructure, production, and service environments, including setting up MLOps pipelines. What guardrails and security challenges do you foresee for developing agentic solutions within the banking sector?",system_design,1.0,high_override
"Explain the architectural components of the production RAG system, detailing the Large Language Model (Anthropic Claude on AWS Bedrock), embedding model (Sentence Transformer), vector database (Milvus), and orchestration framework (LangChain) used. Why was a Retrieval-Augmented Generation (RAG) system chosen over relying solely on a standard LLM, and how does this approach manage domain-specific knowledge, data freshness, and hallucination prevention?",system_design,1.0,high_override
Did your work on ML pipelines include managing the underlying infrastructure or platform?,system_design,1.0,high_override
"Explain the technical architecture of your agentic workflow solution built using the LangGraph framework, including the roles of the triage and diagnostic agents.",system_design,1.0,high_override
"Describe the LLM as a Judge evaluation pipeline, specifying the DeepEval framework, the metrics tracked (e.g., precision, recall, faithfulness, groundedness), and the role of the golden dataset in the CI/CD pipeline.",system_design,1.0,high_override
"How would you handle a customer-facing role that requires interacting with clients to gather requirements, present architectural designs/POCs, and troubleshoot problems?",system_design,1.0,high_override
"Outline a system design and architecture flow for a conversational AI support system, detailing a clear, week-by-week deployment plan to deploy the system in two weeks (rapid prototype).",system_design,1.0,high_override
"How do you balance latency in an LLM pipeline, considering aspects like retrieval latency, caching, and horizontal scaling?",system_design,1.0,high_override
"What specific technical challenges did you face in your RAG project (e.g., with hybrid retriever, chunk size, or injection pipelines) and how did you resolve them?",system_design,1.0,high_override
Explain why Bedrock may not be the optimal choice for a RAG architecture.,system_design,1.0,high_override
"Describe a time when you had to unblock a teammate from a technical issue, such as a failing embedding injection pipeline due to inconsistent chunking or memory pressure.",system_design,1.0,high_override
What specific business problems did you solve for the customer care support team at Lucid Motor using the RAG architecture?,system_design,1.0,high_override
Describe the primary technical challenges you faced in developing the evaluation pipeline for the system.,system_design,1.0,high_override
"Discuss your experience with Infrastructure as Code (IaC) and relevant ML pipeline tools such as GitHub, Terraform, and MLflow.",system_design,1.0,high_override
Describe your experience working with distributed systems.,system_design,1.0,high_override
Do you have experience working with multi-model architectures?,system_design,1.0,high_override
"Compare LangChain and Azure AI Search for RAG pipeline orchestration, and describe the high-level steps you would take to construct a RAG pipeline using Azure AI Search, including the data ingestion layer.",system_design,1.0,high_override
"Explain the key differences between retrieval evaluation and generation evaluation, listing the metrics you prioritize for the retrieval pipeline (e.g., Precision@K, Recall@K, F1 score).",system_design,1.0,high_override
"Detail your primary responsibilities in an MLOps role, including deploying models, building training pipelines, and creating APIs using frameworks like FastAPI.",system_design,1.0,high_override
Describe the architecture of the Transformer model. What unique properties of the Transformer architecture (beyond attention) made it so popular and effective?,system_design,1.0,high_override
"Define tokenization and describe the different strategies or types of tokenization. Compare and contrast word-level and character-level tokenization, including their pros and cons. Explain the purpose and function of mask attention, particularly within the decoder tower of the Transformer model. Walk through the end-to-end architecture of a RAG system you built, specifying the technologies used for the front-end, back-end, retrieval pipeline, and LLM layer. What were the critical design decisions you made when building your RAG pipeline, especially regarding data cleaning and chunking strategy?",system_design,1.0,high_override
"Detail the retrieval, generation, and tool-calling evaluation metrics you have used (e.g., precision@K, faithfulness, groundedness) and how they are integrated into your CI/CD pipeline. How do you handle trade-offs between different evaluation metrics, such as balancing precision and recall?",system_design,1.0,high_override
"Walk through the design of an agentic AI system intended to detect a production issue, focusing on key architectural components from data ingestion through the RAG layer. When designing the RAG layer for production issue detection, what are the critical components of the data ingestion pipeline, and why is semantic encoding crucial during the embedding and chunking stage?",system_design,1.0,high_override
"Can you explain the architecture of the RAG system you worked on, including the ingestion and query pipelines?",system_design,1.0,high_override
"How do you integrate LLM evaluation frameworks into CI/CD pipelines, and what role do tools like GitHub Actions play?",system_design,1.0,high_override
"Explain the concept of “LLM as a judge” and how it is applied in evaluation pipelines.What factors influence your choice of programming language for building LLM-based applications, and why is Python commonly preferred?",system_design,1.0,high_override
How do you design and optimize system prompts to ensure correct tool usage in LLM pipelines?,system_design,1.0,high_override
