question_text,category,score,confidence
Talk me through why you chose the LangGraph ecosystem versus others.,technical,0.5066,low
Are you well-versed with the LangGraph and LangChain ecosystem?,technical,0.5285,low
What is AB testing?,technical,0.8255,high
Why do you need AB testing?,technical,0.722,medium
What are the metrics you have used for AB testing?,technical,0.5689,medium
What is a golden data set?,technical,0.7783,high
1 Vector Databases When would you choose Milvus over PG vector?,technical,0.5471,low
"1 Regarding MLflow, what exactly do you track during an experiment, what gets promoted to the model registry, and what gates must be passed before production deployment?",technical,0.6021,medium
"1 What problems did LangGraph solve that LangChain alone did not, especially concerning agentic workflows?",technical,0.5263,low
"Candidate: They included tools for database queries, focusing on specific tables and the vector database. Some were for ticket information and generation. We also used a Neo4j database for resolving relationships. Interviewer: Why use Neo4j if you already had a vector database?",technical,0.5353,low
So is this golden data set is always the same for all the agents that you will be using or they will be different?,technical,0.5028,low
So what is the difference between this LangChain and LangGraph?,technical,0.7606,high
Tell me about your use of LoRA for fine tuning. Was it LoRA or QLoRA?,technical,0.6199,medium
"Please let's start with LangGraph, explain to me what is LangGraph?",technical,0.625,medium
"Explain the retrieval and generation metrics (e.g., F-score, precision@k, recall@k, faithfulness) used for evaluating the RAG system, and describe the evaluation process, including the use of Ragas and an LLM serving as a judge against a ground truth dataset.",technical,0.5329,low
"Describe your experience using various REST APIs and graph databases, specifically referencing Neo4j and the Cypher query language.",technical,0.4908,low
"What are the key differences between an Agentic AI solution and a standard Retrieval-Augmented Generation (RAG) system, and what does Agentic AI mean to you in a production context?",technical,0.5093,low
"Describe the Retrieval-Augmented Generation (RAG) assistant you developed, detailing the Large Language Model (LLM) (Anthropic Claude) you selected and its hosting environment (AWS Bedrock). What data sources (e.g., owner manuals, transcription logs) did you feed into the RAG system?",technical,0.4986,low
"Compare and contrast LangGraph and LangChain, justifying your choice of one over the other for a specific project.",technical,0.6175,medium
"Compare different vector databases (e.g., Milvus, ChromaDB, Pinecone, PGVector) and explain how you choose one based on scalability and performance requirements.What are the trade-offs between using a dedicated vector database versus extending a relational database with vector capabilities?",technical,0.59,medium
How did you construct and use a ground truth or golden dataset to evaluate retrieval and response quality?,technical,0.5197,low
"What vector database did you use, and how did it perform under scale and load requirements?",technical,0.6193,medium
"Why did you choose a specific vector database (e.g., Milvus), and how did it help in terms of scalability and retrieval performance?",technical,0.621,medium
"What role did the vector database play in your system, and how did you design it to support multi-tenancy and efficient ANN-based retrieval?",technical,0.5781,medium
"What factors influenced your choice of vector database, embedding models, and orchestration framework?",technical,0.5266,low
"What factors influenced your choice of vector database and indexing strategy (e.g., HNSW)?",technical,0.5088,low
How do you balance retrieval quality and generation accuracy in a RAG system?,technical,0.5638,medium
"Explain how LangChain and LangGraph were used differently in your system for RAG and agent workflows.How does state management work in LangGraph, and how do nodes interact with shared state?",technical,0.554,medium
How did you use MLflow or similar tools for experiment tracking and MLOps workflows?,technical,0.5276,low
"Which vector databases have you used, and what factors influenced your choice (e.g., Milvus vs. Chroma)?",technical,0.5137,low
How did you evaluate retrieval and generation performance in your RAG system?,technical,0.5765,medium
"Why did you choose Milvus as your vector database, and how did it support your system requirements?",technical,0.5361,low
"Describe how you incorporated human-in-the-loop (HITL) into your system and why it was necessary.How did you collaborate with cross-functional teams, and what strategies did you use to ensure alignment?",technical,0.5245,low
"What role does human-in-the-loop (HITL) play in your system, and when is it triggered?",technical,0.6459,medium
How did you evaluate the performance of your RAG system across both retrieval and generation stages?,technical,0.5602,medium
"Why did you choose your embedding model and vector database, and how did you evaluate those choices?",technical,0.5242,low
How did you create and use a golden dataset for offline evaluation?,technical,0.5702,medium
"What is LoRA or parameter-efficient fine-tuning, and how does it work?",technical,0.6812,medium
How do you evaluate a RAG system in terms of both retrieval quality and generation quality?,technical,0.5718,medium
