question_text,category,score,confidence
"If you are multi-threading or scaling that workflow horizontally, how would you track thread IDs, store that information, and implement the logging or tracking part?",coding,1.0,high_override
"If there are 50,000 users using the system and it is horizontally scaled, how would you track what queries went where, and implement the explainability part?",coding,1.0,high_override
"If the requirement is to horizontally scale and track node execution with the ability to restart failed nodes, how would you implement that?",coding,1.0,high_override
Have you implemented any token-based authorizations?,coding,1.0,high_override
"Did you implement any chunking, and what types of chunking did you implement?",coding,1.0,high_override
Did you implement any semantic chunking?,coding,1.0,high_override
"Can you walk me through a project where you used agentic workflows, the business value, and what you implemented for monitoring?",coding,1.0,high_override
"If you are doing a RAG pipeline for processing documents—including PDFs, Excel, sheets, and web scraping—how would you design that pipeline, what technology frameworks or libraries would you use, and would you do a RAG versus an Agentic RAG?",coding,1.0,high_override
What is the use case that you have developed and tell me how you have designed and implemented that one?,coding,1.0,high_override
How did you implement it in your current projects?,coding,1.0,high_override
What is the BERT score that you implemented and for what purpose do you use it?,coding,1.0,high_override
How are you implementing the confidence score for this system?,coding,1.0,high_override
I have five numbers in an array and I want to find one number. What is your approach or right algorithm to find the number in the array?,coding,1.0,high_override
"If n is the number of songs in the pairs, what will be the time complexity of the function?",coding,1.0,high_override
Please implement the algorithm.,coding,1.0,high_override
"The technical questions asked during the interview, primarily focusing on RAG, MLOps, Data Bricks, and LLM evaluation, are:RAG Architecture and Implementation Can you explain your RAG architecture end-to-end, detailing exactly how documents entered, how chunks were created, how embeddings were generated, where they were stored, how retrieval was written, and how the final prompt was constructed?",coding,1.0,high_override
How did your app handle tables or multi-column resume PDFs?,coding,1.0,high_override
1 RAG Debugging and Scenarios What happens when RAG gives the wrong answer even though the correct document exists?,coding,1.0,high_override
1 How would you debug that issue (wrong answer despite correct document) in production without just changing the prompt?,coding,1.0,high_override
What are the types of memory that you can actually implement?,coding,1.0,high_override
How does it actually work when you say that you have implemented MCP so that you can use legacy APIs?,coding,1.0,high_override
How will you implement a feedback loop in this process?,coding,1.0,high_override
Give me a step-by-step of how you implemented the CI/CD deployment pipeline for this LLM system.,coding,1.0,high_override
Can you implement a small piece of logic where you combine the results from your semantic search and your keyword search into a single output?,coding,1.0,high_override
How do you implement live coding?,coding,1.0,high_override
How do you implement using Claude or Co-pilot to help facilitate code development and for reliable code?,coding,1.0,high_override
How would you implement Co-pilot into your coding?,coding,1.0,high_override
Could you tell me a bit about the products that you have built using these technologies or just like your experience within the current company that you're working with and how you're implementing or building some of the products that you're building there.,coding,1.0,high_override
How would you implement that for a secured government environment?,coding,1.0,high_override
"What specific technical optimizations did you implement during the RAG development lifecycle, such as hybrid retrieval, rerankers, or adjusting embeddings, to improve retrieval accuracy?",coding,1.0,high_override
"What specific technical stack did you utilize for the RAG chatbot's full-stack implementation, covering the front-end (React), back-end (FastAPI), and deployment environment (AWS EKS)?",coding,1.0,high_override
"Explain the hybrid retrieval strategy you implemented, detailing the combination of semantic search and keyword retrieval using Milvus as the vector database.",coding,1.0,high_override
"Describe the multi-agent architecture implemented for the HRMS orchestrator, including the supervisor pattern, intent detection using a router, and the use of LangGraph.",coding,1.0,high_override
"Walk through your systematic process for debugging broken system integrations, including initial steps like log analysis, checking dependencies, and traversing the entire pipeline.",coding,1.0,high_override
How is role-based access control (RBAC) implemented to manage authentication credentials and control data visibility for different user roles in your system?,coding,1.0,high_override
"Describe the evaluation metrics you used for the RAG system, such as faithfulness, context relevance, and recall at K, and detail how you implemented LLM as a judge for comparison against the ground truth.",coding,1.0,high_override
"Discuss the dangers of agent reasoning, and explain how you implement guardrails and validation techniques to manage toxicity, PII, and prevent hallucinations in your LLM and agent systems.",coding,1.0,high_override
"Define data cleansing and provide examples of transformations you would perform, such as handling null values or missing features. Outline your approach for implementing semantic search across a large number of documents, including the steps for handling new documents and the specific vector search algorithms you would utilize. Detail the process of chunking a complex PDF document containing tables and paragraphs, including the tools used (e.g., PyPDF, recursive text splitter), the semantic grouping mechanism, and different chunking types considered (section, sentence, tabular, overlapping). Explain how you add metadata to document chunks and what specific information you would include, utilizing a JSON format. Describe your complete retrieval engine strategy, specifically explaining the hybrid search approach that combines vector search (HNSW) with keyword algorithms (BM25). Once the top-K documents are retrieved, how do you refine the results to build the final context for generation, specifically using re-ranking techniques and models like cross-encoders (e.g., BERT or MiniLM)?",coding,1.0,high_override
"Please summarize your experience at Lucid Motors, specifying your role as an AI engineer and the customer support product you worked on. What was the scope of work for the AI assistant and what specific AI solutions did you implement to reduce the average call handle time from 8 to 12 minutes?",coding,1.0,high_override
"Demonstrate loading a simple student record dataset (name, ID, department, five subject marks) into a tool like Colab and running basic statistical calculations (mean, median). Can you provide pseudo-code for the Low-Rank Adaptation (LoRA) fine-tuning implementation, covering steps like dataset loading, classification, mapping, and tokenization?",coding,1.0,high_override
"What were the primary business challenges that led to the implementation of the AI assistant, and what specific metrics (e.g., average handle time, error rate) were targeted for improvement?",coding,1.0,high_override
"Describe the hybrid retrieval strategy that was implemented, including the types of retrieval combined (semantic, keyword, and graph). Define Low-Rank Adaptation (LoRA), and explain how this Parameter Efficient Fine-Tuning (PET) technique is used to improve the embedding model's efficiency without incurring the costs of training the entire neural network. Describe the methodology and tools used to monitor and detect drift in the domain data, including the use of an observatory pipeline and the Kullback-Leibler divergence algorithm. Outline the full-stack technology used for the deployment of the system, including the front-end (React), back-end (Fast API), and hosting environment (AWS EKS). Outline the steps of the pseudo-code demonstration for the LoRA fine-tuning process, focusing on the handling of datasets (splitting), tokenization, and the use of a transformer architecture for classification.",coding,1.0,high_override
"Describe the RAG pipeline, detailing the data ingestion and preprocessing steps for handling unstructured data (wikis, PDFs, HTML, and raw text), and explain where the Large Language Model (LLM) fits into the query and answer generation process.",coding,1.0,high_override
"Explain the implementation of tool calling in your solution, specifically mentioning the use of Modern Context Protocol (MCP) servers.",coding,1.0,high_override
"Describe the customer's current AI integration stage and the scope of the long-term production support required for their ongoing proof-of-concept integrations. Detail your experience with AI infrastructure, including the specific AWS components and tooling you used for RAG and agentic systems (e.g., EKS, Fast API, LangGraph, S3). Explain your experience building multi-agent systems, including orchestrator and worker agents, and your use of Model Context Protocol (MCP) for secure tool calling. What key metrics did you monitor for business and infrastructure health, and how did you implement dashboards using tools like Grafana and Prometheus?",coding,1.0,high_override
"How did you implement observability pipelines for tracking and fault tolerance, and what specific tool, such as Langfuse, did you use for monitoring LLM health?",coding,1.0,high_override
How did you implement fallback mechanisms like human-in-the-loop logic to handle failures gracefully in the AI system?,coding,1.0,high_override
How was the GDK outline implemented into your project?,coding,1.0,high_override
"Describe a time where you were able to implement an AI-enabled solution, such as a co-pilot extension or a custom GPT/chatbot. How did you identify that use case and consider risk or security?",coding,1.0,high_override
"Walk through the end-to-end RAG architecture implemented for the customer care AI assistant, detailing the processes for data ingestion, query processing (e.g., multi-query generation), post-retrieval ranking (e.g., cross-encoder), and LLM usage (e.g., prompt strategies, guardrails).",coding,1.0,high_override
"What significant challenges did you encounter specifically in the retrieval phase, and what hybrid retrieval techniques (e.g., use of Milvus, HNSW, ANNN) did you implement to overcome latency issues with large QA datasets?",coding,1.0,high_override
